customer_id,age_first,country_first,gender_first,days_since_signup_first,days_since_last_purchase_min,cancellations_count_max,purchase_frequency_mean,revenue_sum,revenue_mean,revenue_std,quantity_sum,quantity_mean,subscription_status_first,churned
CUST1019,51,India,Female,1249,185,0,41.0,1596.64,1596.64,,8,8.0,paused,0
CUST1020,64,Canada,Female,1434,753,4,2.0,1452.18,1452.18,,6,6.0,active,0
CUST1021,52,Germany,Male,1838,1335,1,9.0,355.46000000000004,355.46000000000004,,7,7.0,paused,0
CUST1022,28,Germany,Female,1346,1289,2,39.0,539.22,539.22,,6,6.0,active,0
CUST1023,25,Germany,Male,1747,248,5,16.0,418.72,418.72,,8,8.0,active,0
CUST1024,45,Germany,Male,1402,1112,2,20.0,698.01,698.01,,3,3.0,active,0
CUST1025,49,India,Male,1560,1346,3,40.0,714.4499999999999,714.4499999999999,,5,5.0,cancelled,1
CUST1026,27,Germany,Male,1006,285,0,28.0,312.83,312.83,,7,7.0,paused,0
CUST1027,69,Pakistan,Male,1789,1450,4,42.0,975.1000000000001,975.1000000000001,,7,7.0,cancelled,1
CUST1028,66,India,Male,1718,317,1,45.0,1197.2,1197.2,,8,8.0,active,0
CUST1029,43,Canada,Female,2002,694,3,14.0,942.5999999999999,942.5999999999999,,6,6.0,cancelled,1
CUST1030,18,Germany,Male,1762,1719,5,24.0,1642.77,1642.77,,9,9.0,active,0
CUST1031,37,Canada,Male,1640,938,4,9.0,31.95,31.95,,1,1.0,paused,0
CUST1032,52,Germany,Female,1831,1663,0,26.0,1609.54,1609.54,,2,2.0,cancelled,1
CUST1033,50,Canada,Male,1422,1238,5,29.0,1661.9,1661.9,,5,5.0,active,0
CUST1034,49,UK,Female,1814,298,5,12.0,1292.65,1292.65,,1,1.0,active,0
CUST1035,48,India,Female,1679,814,3,24.0,254.73000000000002,254.73000000000002,,7,7.0,active,0
CUST1036,42,UK,Male,926,762,0,13.0,554.3299999999999,554.3299999999999,,7,7.0,paused,0
CUST1037,66,India,Male,1057,1005,3,48.0,376.24,376.24,,4,4.0,active,0
CUST1038,25,Pakistan,Female,1458,961,3,11.0,1572.96,1572.96,,2,2.0,paused,0
CUST1039,40,India,Female,1168,428,5,47.0,123.30000000000001,123.30000000000001,,6,6.0,active,0
CUST1040,31,USA,Male,1013,192,3,45.0,1016.15,1016.15,,5,5.0,active,0
CUST1041,55,Pakistan,Female,1306,323,5,5.0,455.48999999999995,455.48999999999995,,7,7.0,active,0
CUST1042,57,Germany,Other,998,336,4,36.0,1954.64,1954.64,,1,1.0,paused,0
CUST1043,55,UK,Female,1029,627,4,45.0,132.86,132.86,,7,7.0,active,0
CUST1044,47,Germany,Male,1436,796,5,48.0,1963.6799999999998,1963.6799999999998,,3,3.0,cancelled,1
CUST1045,29,Pakistan,Male,1902,1364,0,6.0,1670.8500000000001,1670.8500000000001,,5,5.0,active,0
CUST1046,19,Pakistan,Female,1061,396,0,37.0,1098.75,1098.75,,5,5.0,active,0
CUST1047,38,Canada,Male,1677,1316,1,23.0,1561.3500000000001,1561.3500000000001,,7,7.0,active,0
CUST1048,48,Pakistan,Male,1041,302,5,35.0,599.52,599.52,,4,4.0,paused,0
CUST1049,58,Germany,Male,1338,406,4,30.0,1487.43,1487.43,,9,9.0,active,0
CUST1050,27,Pakistan,Female,1995,548,0,37.0,1780.96,1780.96,,8,8.0,paused,0
CUST1051,54,Canada,Male,1167,947,2,14.0,90.34,90.34,,2,2.0,active,0
CUST1052,67,USA,Female,1984,262,3,4.0,1095.6,1095.6,,8,8.0,active,0
CUST1053,51,Canada,Female,1958,1643,4,8.0,969.1200000000001,969.1200000000001,,3,3.0,cancelled,1
CUST1054,59,UK,Male,1018,659,0,1.0,312.0,312.0,,3,3.0,cancelled,1
CUST1055,42,USA,Female,1407,1290,4,23.0,754.8,754.8,,3,3.0,cancelled,1
CUST1056,38,USA,Male,914,779,0,17.0,944.08,944.08,,2,2.0,active,0
CUST1057,23,Germany,Female,1083,368,5,1.0,174.8,174.8,,8,8.0,active,0
CUST1058,18,USA,Male,1759,1003,3,18.0,1476.1000000000001,1476.1000000000001,,5,5.0,active,0
CUST1059,41,Canada,Female,1994,896,0,13.0,1811.3,1811.3,,5,5.0,paused,0
CUST1060,35,Canada,Female,1643,1607,1,42.0,1720.38,1720.38,,6,6.0,cancelled,1
CUST1061,39,Canada,Female,1508,766,3,2.0,312.12,312.12,,9,9.0,active,0
CUST1062,33,UK,Female,1619,743,4,13.0,1483.88,1483.88,,4,4.0,paused,0
CUST1063,34,Canada,Female,1906,1437,4,9.0,1683.9,1683.9,,2,2.0,active,0
CUST1064,22,Germany,Female,1317,1107,4,16.0,1795.65,1795.65,,1,1.0,cancelled,1
CUST1065,56,Pakistan,Male,1916,247,1,7.0,1378.68,1378.68,,3,3.0,paused,0
CUST1066,54,Pakistan,Female,947,675,3,9.0,969.3000000000001,969.3000000000001,,5,5.0,cancelled,1
CUST1067,66,UK,Female,1604,472,4,39.0,541.89,541.89,,3,3.0,active,0
CUST1068,45,Canada,Other,994,521,5,40.0,1217.67,1217.67,,1,1.0,active,0
CUST1069,19,Canada,Male,1481,230,4,33.0,1572.6000000000001,1572.6000000000001,,6,6.0,active,0
CUST1070,33,India,Female,931,423,3,25.0,1398.3899999999999,1398.3899999999999,,3,3.0,active,0
CUST1071,62,India,Female,1589,715,2,13.0,1095.48,1095.48,,3,3.0,active,0
CUST1072,34,Canada,Male,1888,1780,3,28.0,120.39999999999999,120.39999999999999,,5,5.0,active,0
CUST1073,57,Pakistan,Male,1566,1213,0,13.0,837.35,837.35,,5,5.0,cancelled,1
CUST1074,21,India,Female,1640,269,2,27.0,266.15999999999997,266.15999999999997,,6,6.0,active,0
CUST1075,43,USA,Female,1274,725,1,32.0,788.5,788.5,,5,5.0,cancelled,1
CUST1076,63,USA,Male,1748,1288,5,19.0,1467.0,1467.0,,6,6.0,cancelled,1
CUST1077,35,UK,Female,1673,433,2,47.0,1519.11,1519.11,,1,1.0,cancelled,1
CUST1078,55,UK,Female,1770,778,2,44.0,1282.08,1282.08,,8,8.0,cancelled,1
CUST1079,54,Germany,Male,1958,269,5,21.0,1078.0,1078.0,,7,7.0,active,0
CUST1080,53,Germany,Male,1565,858,0,4.0,834.12,834.12,,7,7.0,active,0
CUST1081,20,USA,Male,959,789,5,8.0,341.04999999999995,341.04999999999995,,5,5.0,active,0
CUST1082,18,UK,Male,1605,1455,0,20.0,788.41,788.41,,7,7.0,active,0
CUST1083,44,UK,Female,1595,829,0,16.0,1616.16,1616.16,,6,6.0,active,0
CUST1084,20,Pakistan,Male,1535,294,0,1.0,1032.49,1032.49,,1,1.0,active,0
CUST1085,51,Germany,Female,1777,810,0,7.0,506.14,506.14,,2,2.0,active,0
CUST1086,55,Germany,Female,1856,603,1,3.0,1515.28,1515.28,,8,8.0,active,0
CUST1087,52,Pakistan,Female,1411,970,1,45.0,1495.51,1495.51,,1,1.0,cancelled,1
CUST1088,31,Germany,Female,1582,1194,4,38.0,769.4,769.4,,2,2.0,cancelled,1
CUST1089,46,India,Male,1631,891,5,29.0,1538.3999999999999,1538.3999999999999,,6,6.0,active,0
CUST1090,61,Pakistan,Female,953,921,0,14.0,1158.8,1158.8,,4,4.0,active,0
CUST1091,30,Canada,Female,1813,964,2,8.0,135.0,135.0,,5,5.0,active,0
CUST1092,56,Canada,Female,1615,1364,2,28.0,839.49,839.49,,3,3.0,active,0
CUST1093,24,Canada,Male,992,596,0,30.0,1451.45,1451.45,,5,5.0,paused,0
CUST1094,68,Pakistan,Female,1311,416,2,38.0,1555.56,1555.56,,6,6.0,active,0
CUST1095,52,Canada,Male,1213,460,5,40.0,796.25,796.25,,5,5.0,cancelled,1
CUST1096,43,USA,Female,1825,1579,0,30.0,187.23,187.23,,3,3.0,active,0
CUST1097,35,Pakistan,Male,1781,1181,4,26.0,538.65,538.65,,5,5.0,active,0
CUST1098,66,Germany,Male,1613,1287,5,40.0,1113.14,1113.14,,2,2.0,paused,0
CUST1099,32,UK,Female,1610,1401,2,5.0,990.57,990.57,,1,1.0,active,0
CUST1100,57,UK,Female,1904,756,2,26.0,844.26,844.26,,6,6.0,cancelled,1
CUST1101,49,USA,Male,1401,512,2,48.0,347.31000000000006,347.31000000000006,,9,9.0,active,0
CUST1102,62,USA,Female,915,586,1,35.0,1574.32,1574.32,,8,8.0,active,0
CUST1103,36,Germany,Female,972,314,4,41.0,421.70000000000005,421.70000000000005,,5,5.0,active,0
CUST1104,51,USA,Male,1298,851,2,13.0,760.96,760.96,,1,1.0,paused,0
CUST1105,54,India,Female,1232,461,4,24.0,1432.6,1432.6,,2,2.0,active,0
CUST1106,27,UK,Female,1248,358,0,34.0,1981.8000000000002,1981.8000000000002,,5,5.0,cancelled,1
CUST1107,42,Germany,Female,1947,1439,0,39.0,1611.68,1611.68,,2,2.0,active,0
CUST1108,51,India,Other,1321,460,3,26.0,430.68,430.68,,4,4.0,cancelled,1
CUST1109,39,India,Male,1196,680,1,44.0,1400.04,1400.04,,6,6.0,cancelled,1
CUST1110,23,Canada,Female,1204,908,1,11.0,1061.4,1061.4,,3,3.0,active,0
CUST1111,59,India,Female,1114,781,0,41.0,1770.24,1770.24,,8,8.0,paused,0
CUST1112,29,Canada,Female,1827,863,4,28.0,1982.24,1982.24,,8,8.0,paused,0
CUST1113,50,India,Male,918,344,0,13.0,1810.76,1810.76,,1,1.0,cancelled,1
CUST1114,31,Pakistan,Female,1521,994,3,15.0,987.72,987.72,,6,6.0,active,0
CUST1115,65,Canada,Female,1299,1232,3,42.0,287.4,287.4,,5,5.0,active,0
CUST1116,28,Canada,Female,1173,504,0,3.0,1293.78,1293.78,,3,3.0,active,0
CUST1117,31,Germany,Male,1872,1711,0,7.0,1645.52,1645.52,,8,8.0,cancelled,1
CUST1118,45,Canada,Male,1446,515,1,22.0,338.72,338.72,,1,1.0,active,0
CUST1119,19,USA,Female,1616,596,1,25.0,1570.41,1570.41,,9,9.0,active,0
CUST1120,64,Pakistan,Male,1916,1288,5,1.0,612.0600000000001,612.0600000000001,,6,6.0,cancelled,1
CUST1121,23,UK,Male,1203,658,5,3.0,1949.95,1949.95,,5,5.0,active,0
CUST1122,22,UK,Male,1169,422,2,49.0,129.42000000000002,129.42000000000002,,6,6.0,cancelled,1
CUST1123,68,USA,Male,1026,508,1,38.0,1298.36,1298.36,,2,2.0,cancelled,1
CUST1124,61,Canada,Female,1091,297,3,5.0,1929.76,1929.76,,2,2.0,cancelled,1
CUST1125,52,UK,Male,1001,737,0,28.0,1608.48,1608.48,,8,8.0,active,0
CUST1126,35,UK,Female,1711,484,1,41.0,178.81,178.81,,1,1.0,active,0
CUST1127,45,Germany,Female,1300,1083,2,49.0,838.45,838.45,,5,5.0,cancelled,1
CUST1128,49,Germany,Female,1235,1221,2,43.0,117.35999999999999,117.35999999999999,,6,6.0,active,0
CUST1129,31,UK,Male,1757,766,0,34.0,510.81000000000006,510.81000000000006,,3,3.0,active,0
CUST1130,33,Germany,Male,1213,556,3,3.0,1936.1,1936.1,,2,2.0,cancelled,1
CUST1131,21,UK,Female,1559,385,0,13.0,1106.04,1106.04,,6,6.0,cancelled,1
CUST1132,59,USA,Female,1312,978,3,3.0,1328.56,1328.56,,4,4.0,active,0
CUST1133,46,Germany,Female,1691,1198,2,34.0,213.25,213.25,,5,5.0,active,0
CUST1134,35,UK,Male,1623,453,1,43.0,191.70000000000002,191.70000000000002,,9,9.0,active,0
CUST1135,51,USA,Male,1001,638,5,28.0,782.46,782.46,,7,7.0,cancelled,1
CUST1136,51,India,Female,1496,1317,1,25.0,722.82,722.82,,7,7.0,active,0
CUST1137,39,USA,Female,1749,583,3,11.0,49.32000000000001,49.32000000000001,,9,9.0,active,0
CUST1138,36,Germany,Female,1044,1012,3,16.0,759.8000000000001,759.8000000000001,,5,5.0,active,0
CUST1139,49,Pakistan,Female,983,941,3,12.0,1375.02,1375.02,,9,9.0,active,0
CUST1140,55,UK,Male,1461,720,2,3.0,1259.02,1259.02,,7,7.0,active,0
CUST1141,19,Germany,Female,1058,468,4,9.0,1749.76,1749.76,,8,8.0,cancelled,1
CUST1142,47,UK,Female,988,323,0,46.0,710.88,710.88,,4,4.0,cancelled,1
CUST1143,53,India,Female,1578,294,5,30.0,897.48,897.48,,4,4.0,active,0
CUST1144,46,India,Female,1557,598,3,18.0,1985.2000000000003,1985.2000000000003,,7,7.0,active,0
CUST1145,48,Germany,Male,1652,527,2,23.0,1503.0,1503.0,,9,9.0,cancelled,1
CUST1146,47,USA,Female,1795,838,1,24.0,726.36,726.36,,6,6.0,active,0
CUST1147,26,Germany,Other,1270,351,5,28.0,1300.77,1300.77,,3,3.0,active,0
CUST1148,20,India,Male,1532,569,1,17.0,1151.4,1151.4,,5,5.0,active,0
CUST1149,51,Germany,Male,1605,740,2,37.0,49.44,49.44,,6,6.0,cancelled,1
CUST1150,20,Germany,Male,1606,1226,3,40.0,1903.38,1903.38,,3,3.0,cancelled,1
CUST1151,49,USA,Female,1876,1385,3,40.0,1254.16,1254.16,,8,8.0,active,0
CUST1152,27,Pakistan,Female,1558,1123,5,41.0,1205.1899999999998,1205.1899999999998,,7,7.0,active,0
CUST1153,52,India,Female,1298,586,2,18.0,1308.29,1308.29,,1,1.0,active,0
CUST1154,24,UK,Other,1950,421,1,42.0,1546.0,1546.0,,2,2.0,cancelled,1
CUST1155,54,UK,Female,1266,380,1,7.0,37.35,37.35,,1,1.0,cancelled,1
CUST1156,42,Pakistan,Male,1592,551,0,1.0,421.02,421.02,,2,2.0,active,0
CUST1157,55,Canada,Male,1308,738,4,45.0,1294.58,1294.58,,7,7.0,cancelled,1
CUST1158,35,Pakistan,Female,1910,1584,4,24.0,174.4,174.4,,5,5.0,active,0
CUST1159,31,Pakistan,Male,1407,554,3,1.0,214.38,214.38,,9,9.0,active,0
CUST1160,21,Germany,Male,1364,1200,1,21.0,1447.8000000000002,1447.8000000000002,,6,6.0,active,0
CUST1161,65,Canada,Female,1295,1281,5,24.0,876.75,876.75,,3,3.0,active,0
CUST1162,30,Canada,Female,1963,868,4,44.0,837.48,837.48,,6,6.0,cancelled,1
CUST1163,38,Pakistan,Female,958,420,4,38.0,1600.32,1600.32,,4,4.0,cancelled,1
CUST1164,64,Germany,Male,1183,1068,3,34.0,1802.4,1802.4,,2,2.0,paused,0
CUST1165,45,Germany,Male,1009,553,5,9.0,1793.0099999999998,1793.0099999999998,,3,3.0,active,0
CUST1166,41,UK,Male,1625,448,2,3.0,233.28000000000003,233.28000000000003,,3,3.0,cancelled,1
CUST1167,38,Pakistan,Male,1544,977,1,8.0,94.80000000000001,94.80000000000001,,6,6.0,cancelled,1
CUST1168,62,Germany,Other,1848,1137,2,36.0,759.9,759.9,,5,5.0,active,0
CUST1169,47,India,Male,1749,1205,5,49.0,211.92000000000002,211.92000000000002,,6,6.0,active,0
CUST1170,65,UK,Female,1742,654,5,47.0,1449.27,1449.27,,9,9.0,active,0
CUST1171,36,UK,Female,1764,612,1,2.0,1242.34,1242.34,,2,2.0,cancelled,1
CUST1172,64,Canada,Female,1456,1036,0,28.0,1308.25,1308.25,,5,5.0,cancelled,1
CUST1173,38,Pakistan,Male,1374,439,5,42.0,1664.3000000000002,1664.3000000000002,,5,5.0,cancelled,1
CUST1174,51,Germany,Male,1095,456,4,39.0,205.35000000000002,205.35000000000002,,3,3.0,active,0
CUST1175,62,Pakistan,Male,1613,726,5,26.0,1099.84,1099.84,,4,4.0,active,0
CUST1176,20,Pakistan,Male,949,581,3,17.0,1718.8,1718.8,,2,2.0,cancelled,1
CUST1177,21,Canada,Female,1913,1198,4,34.0,932.76,932.76,,9,9.0,paused,0
CUST1178,45,Canada,Female,1553,1306,3,18.0,1986.96,1986.96,,2,2.0,cancelled,1
CUST1179,48,Germany,Male,1666,1592,2,15.0,696.68,696.68,,2,2.0,active,0
CUST1180,48,Pakistan,Male,1041,654,0,33.0,112.19999999999999,112.19999999999999,,6,6.0,active,0
CUST1181,33,Pakistan,Male,1061,668,3,42.0,1543.22,1543.22,,1,1.0,cancelled,1
CUST1182,37,India,Male,1658,201,0,5.0,1465.6,1465.6,,8,8.0,active,0
CUST1183,59,Canada,Male,1762,1219,2,23.0,1727.04,1727.04,,8,8.0,active,0
CUST1184,37,USA,Male,951,344,3,33.0,1071.13,1071.13,,1,1.0,active,0
CUST1185,47,Canada,Female,1333,362,2,9.0,198.63,198.63,,9,9.0,active,0
CUST1186,62,Canada,Female,1651,217,5,10.0,800.84,800.84,,4,4.0,active,0
CUST1187,26,India,Female,1015,327,1,39.0,1357.34,1357.34,,2,2.0,cancelled,1
CUST1188,20,Pakistan,Female,1726,492,0,34.0,1378.74,1378.74,,2,2.0,active,0
CUST1189,40,Germany,Male,1211,1084,5,40.0,1085.8799999999999,1085.8799999999999,,6,6.0,active,0
CUST1190,49,Pakistan,Female,1671,1139,4,7.0,741.7,741.7,,5,5.0,cancelled,1
CUST1191,33,UK,Male,1460,1208,4,9.0,894.81,894.81,,7,7.0,cancelled,1
CUST1192,54,Pakistan,Other,1595,731,2,29.0,1496.16,1496.16,,8,8.0,active,0
CUST1193,28,Canada,Male,1645,988,5,26.0,1229.97,1229.97,,7,7.0,active,0
CUST1194,36,Canada,Female,1741,1457,2,10.0,357.66,357.66,,9,9.0,cancelled,1
CUST1195,57,India,Male,941,542,0,46.0,1198.3799999999999,1198.3799999999999,,6,6.0,active,0
CUST1196,36,India,Male,1956,1153,3,49.0,276.84000000000003,276.84000000000003,,9,9.0,active,0
CUST1197,34,USA,Male,1232,1079,2,45.0,1717.0,1717.0,,4,4.0,active,0
CUST1198,39,USA,Female,1391,710,4,35.0,1104.48,1104.48,,9,9.0,cancelled,1
CUST1199,32,Pakistan,Male,1222,1053,4,43.0,1512.48,1512.48,,3,3.0,active,0
CUST1200,69,Germany,Female,1679,879,2,23.0,1932.48,1932.48,,4,4.0,cancelled,1
CUST1201,61,India,Male,1053,257,0,47.0,833.52,833.52,,6,6.0,cancelled,1
CUST1202,68,UK,Female,1561,1145,4,13.0,1798.6799999999998,1798.6799999999998,,6,6.0,active,0
CUST1203,61,Germany,Other,1668,1067,4,6.0,1780.08,1780.08,,6,6.0,cancelled,1
CUST1204,22,USA,Female,1739,843,0,13.0,126.32,126.32,,2,2.0,active,0
CUST1205,58,India,Male,1639,298,2,13.0,1484.8,1484.8,,1,1.0,cancelled,1
CUST1206,59,Germany,Female,1543,796,1,26.0,1578.12,1578.12,,6,6.0,active,0
CUST1207,32,India,Male,944,804,1,38.0,1212.26,1212.26,,1,1.0,active,0
CUST1208,37,India,Male,1251,912,0,33.0,1790.4,1790.4,,1,1.0,active,0
CUST1209,30,Pakistan,Male,1404,518,2,6.0,1165.24,1165.24,,2,2.0,active,0
CUST1210,30,UK,Female,1433,1096,0,40.0,362.64,362.64,,2,2.0,active,0
CUST1211,65,UK,Male,1439,1092,2,34.0,1573.83,1573.83,,9,9.0,paused,0
CUST1212,48,Canada,Female,1390,734,4,45.0,1388.6999999999998,1388.6999999999998,,3,3.0,cancelled,1
CUST1213,56,Pakistan,Female,1867,568,2,40.0,1470.03,1470.03,,3,3.0,cancelled,1
CUST1214,29,Germany,Female,1207,793,0,36.0,1068.34,1068.34,,1,1.0,cancelled,1
CUST1215,64,India,Male,1804,1002,4,30.0,1208.24,1208.24,,8,8.0,active,0
CUST1216,48,Pakistan,Female,1196,1148,3,32.0,1218.8,1218.8,,8,8.0,active,0
CUST1217,59,Germany,Male,1024,803,5,3.0,1940.19,1940.19,,7,7.0,active,0
CUST1218,36,Canada,Female,1324,351,5,30.0,90.95,90.95,,1,1.0,active,0
CUST1219,20,Canada,Female,909,778,4,38.0,1627.8,1627.8,,2,2.0,active,0
CUST1220,51,Pakistan,Female,1349,948,3,27.0,788.61,788.61,,3,3.0,paused,0
CUST1221,49,USA,Female,1962,274,2,45.0,1385.6,1385.6,,8,8.0,active,0
CUST1222,46,Canada,Female,1390,624,1,12.0,1990.9,1990.9,,5,5.0,active,0
CUST1223,25,Pakistan,Female,1136,482,0,32.0,1694.56,1694.56,,8,8.0,active,0
CUST1224,19,USA,Female,1571,462,1,21.0,1534.6200000000001,1534.6200000000001,,6,6.0,active,0
CUST1225,62,UK,Female,1083,530,5,7.0,508.16,508.16,,8,8.0,active,0
CUST1226,52,Germany,Female,1793,1251,2,45.0,1586.55,1586.55,,5,5.0,active,0
CUST1227,52,Germany,Other,1614,264,5,11.0,872.32,872.32,,2,2.0,active,0
CUST1228,47,Germany,Female,1431,1091,0,13.0,1466.56,1466.56,,4,4.0,active,0
CUST1229,46,UK,Male,1300,395,2,27.0,1391.04,1391.04,,4,4.0,active,0
CUST1230,18,India,Female,1334,995,1,38.0,1767.44,1767.44,,8,8.0,active,0
CUST1231,66,Pakistan,Female,1129,258,5,33.0,1331.03,1331.03,,1,1.0,active,0
CUST1232,54,UK,Other,1311,862,4,30.0,672.0,672.0,,5,5.0,cancelled,1
CUST1233,35,India,Female,1409,622,1,26.0,1199.25,1199.25,,9,9.0,active,0
CUST1234,65,USA,Male,1551,405,1,15.0,1892.34,1892.34,,9,9.0,cancelled,1
CUST1235,22,Pakistan,Female,1971,1202,0,47.0,641.68,641.68,,8,8.0,cancelled,1
CUST1236,60,Pakistan,Female,1605,1309,2,11.0,535.36,535.36,,4,4.0,active,0
CUST1237,57,Germany,Female,1131,861,1,28.0,1146.76,1146.76,,4,4.0,cancelled,1
CUST1238,37,Canada,Female,1538,1115,2,3.0,441.44,441.44,,8,8.0,active,0
CUST1239,50,USA,Female,1145,353,5,8.0,180.25,180.25,,7,7.0,active,0
CUST1240,22,Germany,Female,1365,1042,5,22.0,44.519999999999996,44.519999999999996,,6,6.0,active,0
CUST1241,46,Canada,Female,1977,1483,0,39.0,1721.12,1721.12,,4,4.0,active,0
CUST1242,59,India,Male,1742,287,2,40.0,923.8499999999999,923.8499999999999,,3,3.0,active,0
CUST1243,53,Germany,Female,1519,1313,2,5.0,235.7,235.7,,1,1.0,active,0
CUST1244,40,USA,Female,1216,688,5,23.0,1399.6,1399.6,,8,8.0,active,0
CUST1245,67,UK,Female,1932,1667,0,40.0,929.56,929.56,,4,4.0,active,0
CUST1246,26,Germany,Male,1858,700,2,23.0,1067.0,1067.0,,4,4.0,active,0
CUST1247,67,UK,Female,1184,328,5,39.0,65.64,65.64,,2,2.0,active,0
CUST1248,23,USA,Male,1630,1546,2,11.0,1792.08,1792.08,,3,3.0,paused,0
CUST1249,51,India,Female,1154,434,1,18.0,1179.6,1179.6,,8,8.0,cancelled,1
CUST1250,64,India,Female,1819,455,2,39.0,643.44,643.44,,7,7.0,active,0
CUST1251,42,Germany,Female,1001,463,2,39.0,538.08,538.08,,6,6.0,active,0
CUST1252,23,Pakistan,Male,1738,668,1,6.0,1348.1,1348.1,,5,5.0,paused,0
CUST1253,57,India,Female,1828,1740,0,37.0,214.01,214.01,,1,1.0,active,0
CUST1254,29,India,Male,1251,323,0,24.0,736.4,736.4,,2,2.0,active,0
CUST1255,60,USA,Female,1101,789,5,40.0,1120.48,1120.48,,2,2.0,paused,0
CUST1256,22,Germany,Female,1723,522,2,44.0,262.89,262.89,,1,1.0,active,0
CUST1257,56,Canada,Male,1580,386,2,14.0,908.16,908.16,,8,8.0,cancelled,1
CUST1258,65,India,Female,1991,300,2,35.0,550.9699999999999,550.9699999999999,,7,7.0,active,0
CUST1259,40,USA,Male,1822,303,0,48.0,850.56,850.56,,3,3.0,active,0
CUST1260,34,UK,Female,1158,923,1,14.0,1570.05,1570.05,,9,9.0,active,0
CUST1261,36,UK,Female,1261,197,5,8.0,992.04,992.04,,6,6.0,paused,0
CUST1262,46,India,Female,1048,869,1,25.0,1098.68,1098.68,,4,4.0,active,0
CUST1263,65,UK,Male,1991,1077,5,28.0,369.54999999999995,369.54999999999995,,5,5.0,paused,0
CUST1264,31,Pakistan,Female,1303,625,3,37.0,661.04,661.04,,2,2.0,cancelled,1
CUST1265,57,Germany,Female,1083,453,3,47.0,1865.18,1865.18,,1,1.0,cancelled,1
CUST1266,32,Pakistan,Male,1026,709,1,16.0,1624.53,1624.53,,1,1.0,paused,0
CUST1267,47,India,Male,1297,757,2,12.0,667.14,667.14,,3,3.0,active,0
CUST1268,28,USA,Male,1204,349,3,1.0,1524.8,1524.8,,8,8.0,active,0
CUST1269,58,UK,Female,1537,1244,3,45.0,629.6,629.6,,4,4.0,cancelled,1
CUST1270,27,Germany,Female,1747,1188,1,17.0,682.9200000000001,682.9200000000001,,7,7.0,cancelled,1
CUST1271,52,India,Female,1561,346,4,38.0,350.08,350.08,,8,8.0,paused,0
CUST1272,28,USA,Female,1202,1055,3,41.0,1906.4,1906.4,,8,8.0,active,0
CUST1273,53,Pakistan,Female,1784,1076,1,49.0,1483.68,1483.68,,6,6.0,active,0
CUST1274,61,USA,Female,1628,1457,0,1.0,1023.1200000000001,1023.1200000000001,,3,3.0,active,0
CUST1275,53,Germany,Female,1622,1395,3,46.0,1460.88,1460.88,,2,2.0,active,0
CUST1276,59,UK,Female,1357,541,3,12.0,116.4,116.4,,8,8.0,cancelled,1
CUST1277,33,India,Female,1163,637,4,30.0,1349.34,1349.34,,6,6.0,active,0
CUST1278,53,UK,Female,1015,302,0,41.0,1711.43,1711.43,,7,7.0,paused,0
CUST1279,47,Germany,Male,1949,889,4,49.0,568.18,568.18,,2,2.0,cancelled,1
CUST1280,52,Canada,Male,1213,985,5,14.0,958.28,958.28,,4,4.0,active,0
CUST1281,59,UK,Female,1777,1656,0,23.0,307.86,307.86,,3,3.0,cancelled,1
CUST1282,63,Pakistan,Male,1006,189,2,28.0,212.88,212.88,,8,8.0,active,0
CUST1283,29,Canada,Male,1681,1575,4,28.0,1408.55,1408.55,,5,5.0,active,0
