order_id,customer_id,age,product_id,country,signup_date,last_purchase_date,cancellations_count,subscription_status,order_date,unit_price,quantity,purchase_frequency,preferred_category,product_name,category,gender,Revenue,Age_group,Days Since Last Purchase,Customer Tenure Days,Month-Year,Churn Risk Score
ORD5024,CUST1024,45,PROD224,Germany,14-Apr-22,29-Jan-23,2,active,21-May-24,232.67,3,20,Clothing,Lipstick,Beauty,Male,698.01,36-45,1118,290,May-24,70
ORD5025,CUST1025,49,PROD225,India,07-Nov-21,09-Jun-22,3,cancelled,26-Sep-22,142.89,5,40,Clothing,Sneakers,Clothing,Male,714.45,46-55,1352,214,Sep-22,80
ORD5026,CUST1026,27,PROD226,Germany,15-May-23,05-May-25,0,paused,26-Aug-24,44.69,7,28,Beauty,T-Shirt,Clothing,Male,312.83,26-35,291,721,Aug-24,70
ORD5027,CUST1027,69,PROD227,Pakistan,23-Mar-21,25-Feb-22,4,cancelled,13-Nov-24,139.3,7,42,Clothing,Tennis Racket,Sports,Male,975.1,56+,1456,339,Nov-24,80
ORD5028,CUST1028,66,PROD228,India,02-Jun-21,03-Apr-25,1,active,17-Jan-22,149.65,8,45,Electronics,Sofa,Home,Male,1197.2,56+,323,1401,Jan-22,60
ORD5029,CUST1029,43,PROD229,Canada,22-Aug-20,22-Mar-24,3,cancelled,06-Aug-21,157.1,6,14,Electronics,Laptop,Electronics,Female,942.6,36-45,700,1308,Aug-21,80
ORD5030,CUST1030,18,PROD230,Germany,19-Apr-21,01-Jun-21,5,active,04-Mar-23,182.53,9,24,Clothing,Basketball,Sports,Male,1642.77,18-25,1725,43,Mar-23,80
ORD5031,CUST1031,37,PROD231,Canada,19-Aug-21,22-Jul-23,4,paused,07-Sep-24,31.95,1,9,Home,Dress,Clothing,Male,31.95,36-45,944,702,Sep-24,100
ORD5032,CUST1032,52,PROD232,Germany,09-Feb-21,27-Jul-21,0,cancelled,10-Nov-23,804.77,2,26,Beauty,Cycling Helmet,Sports,Female,1609.54,46-55,1669,168,Nov-23,50
ORD5033,CUST1033,50,PROD233,Canada,25-Mar-22,25-Sep-22,5,active,05-Sep-22,332.38,5,29,Home,Shirt,Clothing,Male,1661.9,46-55,1244,184,Sep-22,80
ORD5034,CUST1034,49,PROD234,UK,26-Feb-21,22-Apr-25,5,active,18-Oct-21,1292.65,1,12,Electronics,Cricket Bat,Sports,Female,1292.65,46-55,304,1516,Oct-21,80
ORD5035,CUST1035,48,PROD235,India,11-Jul-21,23-Nov-23,3,active,03-Jun-24,36.39,7,24,Electronics,Tablet,Electronics,Female,254.73,46-55,820,865,Jun-24,80
ORD5036,CUST1036,42,PROD236,UK,03-Aug-23,14-Jan-24,0,paused,22-Sep-24,79.19,7,13,Home,Camera,Electronics,Male,554.33,36-45,768,164,Sep-24,70
ORD5037,CUST1037,66,PROD237,India,25-Mar-23,16-May-23,3,active,29-Dec-24,94.06,4,48,Sports,Blender,Home,Male,376.24,56+,1011,52,Dec-24,80
ORD5038,CUST1038,25,PROD238,Pakistan,17-Feb-22,29-Jun-23,3,paused,13-Mar-22,786.48,2,11,Sports,Basketball,Sports,Female,1572.96,18-25,967,497,Mar-22,100
ORD5039,CUST1039,40,PROD239,India,04-Dec-22,13-Dec-24,5,active,05-Jun-25,20.55,6,47,Beauty,Sneakers,Clothing,Female,123.3,36-45,434,740,Jun-25,80
ORD5040,CUST1040,31,PROD240,USA,08-May-23,06-Aug-25,3,active,09-Oct-23,203.23,5,45,Beauty,Sneakers,Clothing,Male,1016.15,26-35,198,821,Oct-23,80
ORD5041,CUST1041,55,PROD241,Pakistan,19-Jul-22,28-Mar-25,5,active,02-Dec-24,65.07,7,5,Sports,Dumbbells,Sports,Female,455.49,46-55,329,983,Dec-24,80
ORD5042,CUST1042,57,PROD242,Germany,23-May-23,15-Mar-25,4,paused,25-Aug-23,1954.64,1,36,Home,Cricket Bat,Sports,Other,1954.64,56+,342,662,Aug-23,100
ORD5043,CUST1043,55,PROD243,UK,22-Apr-23,28-May-24,4,active,24-Dec-24,18.98,7,45,Sports,Smartphone,Electronics,Female,132.86,46-55,633,402,Dec-24,80
ORD5044,CUST1044,47,PROD244,Germany,11-Mar-22,11-Dec-23,5,cancelled,09-Jul-25,654.56,3,48,Beauty,Football,Sports,Male,1963.68,46-55,802,640,Jul-25,80
ORD5045,CUST1045,29,PROD245,Pakistan,30-Nov-20,22-May-22,0,active,24-Oct-23,334.17,5,6,Home,Headphones,Electronics,Male,1670.85,26-35,1370,538,Oct-23,50
ORD5046,CUST1046,19,PROD246,Pakistan,21-Mar-23,14-Jan-25,0,active,29-Apr-24,219.75,5,37,Beauty,Jacket,Clothing,Female,1098.75,18-25,402,665,Apr-24,50
ORD5047,CUST1047,38,PROD247,Canada,13-Jul-21,09-Jul-22,1,active,23-Jul-21,223.05,7,23,Home,Lamp,Home,Male,1561.35,36-45,1322,361,Jul-21,60
ORD5048,CUST1048,48,PROD248,Pakistan,10-Apr-23,18-Apr-25,5,paused,09-Jun-25,149.88,4,35,Sports,Headphones,Electronics,Male,599.52,46-55,308,739,Jun-25,100
ORD5049,CUST1049,58,PROD249,Germany,17-Jun-22,04-Jan-25,4,active,26-Nov-24,165.27,9,30,Sports,Bluetooth Speaker,Electronics,Male,1487.43,56+,412,932,Nov-24,80
ORD5050,CUST1050,27,PROD250,Pakistan,29-Aug-20,15-Aug-24,0,paused,09-Feb-23,222.62,8,37,Beauty,Gaming Console,Electronics,Female,1780.96,26-35,554,1447,Feb-23,70
ORD5051,CUST1051,54,PROD251,Canada,05-Dec-22,13-Jul-23,2,active,05-Jun-25,45.17,2,14,Beauty,Bluetooth Speaker,Electronics,Male,90.34,46-55,953,220,Jun-25,70
ORD5052,CUST1052,67,PROD252,USA,09-Sep-20,28-May-25,3,active,19-Mar-22,136.95,8,4,Clothing,Basketball,Sports,Female,1095.6,56+,268,1722,Mar-22,80
ORD5053,CUST1053,51,PROD253,Canada,05-Oct-20,16-Aug-21,4,cancelled,03-Apr-25,323.04,3,8,Beauty,Nail Polish,Beauty,Female,969.12,46-55,1649,315,Apr-25,80
ORD5054,CUST1054,59,PROD254,UK,03-May-23,26-Apr-24,0,cancelled,24-Dec-23,104,3,1,Electronics,Smartphone,Electronics,Male,312,56+,665,359,Dec-23,50
ORD5055,CUST1055,42,PROD255,USA,09-Apr-22,04-Aug-22,4,cancelled,10-Apr-23,251.6,3,23,Beauty,Lamp,Home,Female,754.8,36-45,1296,117,Apr-23,80
ORD5056,CUST1056,38,PROD256,USA,15-Aug-23,28-Dec-23,0,active,18-Apr-25,472.04,2,17,Electronics,Shirt,Clothing,Male,944.08,36-45,785,135,Apr-25,50
ORD5057,CUST1057,23,PROD257,Germany,27-Feb-23,11-Feb-25,5,active,14-Mar-23,21.85,8,1,Home,Tennis Racket,Sports,Female,174.8,18-25,374,715,Mar-23,80
ORD5058,CUST1058,18,PROD258,USA,22-Apr-21,18-May-23,3,active,04-Feb-23,295.22,5,18,Electronics,Jeans,Clothing,Male,1476.1,18-25,1009,756,Feb-23,80
ORD5059,CUST1059,41,PROD259,Canada,30-Aug-20,02-Sep-23,0,paused,30-Sep-23,362.26,5,13,Beauty,Running Shoes,Sports,Female,1811.3,36-45,902,1098,Sep-23,70
ORD5060,CUST1060,35,PROD260,Canada,16-Aug-21,21-Sep-21,1,cancelled,22-Nov-21,286.73,6,42,Beauty,Cycling Helmet,Sports,Female,1720.38,26-35,1613,36,Nov-21,60
ORD5061,CUST1061,39,PROD261,Canada,29-Dec-21,10-Jan-24,3,active,05-Apr-22,34.68,9,2,Home,Smartphone,Electronics,Female,312.12,36-45,772,742,Apr-22,80
ORD5062,CUST1062,33,PROD262,UK,09-Sep-21,02-Feb-24,4,paused,14-Nov-22,370.97,4,13,Electronics,Sneakers,Clothing,Female,1483.88,26-35,749,876,Nov-22,100
ORD5063,CUST1063,34,PROD263,Canada,26-Nov-20,10-Mar-22,4,active,17-Aug-21,841.95,2,9,Sports,Camera,Electronics,Female,1683.9,26-35,1443,469,Aug-21,80
ORD5064,CUST1064,22,PROD264,Germany,08-Jul-22,03-Feb-23,4,cancelled,31-Mar-24,1795.65,1,16,Clothing,Sofa,Home,Female,1795.65,18-25,1113,210,Mar-24,80
ORD5065,CUST1065,56,PROD265,Pakistan,16-Nov-20,12-Jun-25,1,paused,15-Aug-22,459.56,3,7,Sports,Smartwatch,Electronics,Male,1378.68,56+,253,1669,Aug-22,80
ORD5066,CUST1066,54,PROD266,Pakistan,13-Jul-23,10-Apr-24,3,cancelled,08-Aug-24,193.86,5,9,Home,Hoodie,Clothing,Female,969.3,46-55,681,272,Aug-24,80
ORD5067,CUST1067,66,PROD267,UK,24-Sep-21,30-Oct-24,4,active,22-Jun-24,180.63,3,39,Clothing,Cycling Helmet,Sports,Female,541.89,56+,478,1132,Jun-24,80
ORD5068,CUST1068,45,PROD268,Canada,27-May-23,11-Sep-24,5,active,28-Sep-24,1217.67,1,40,Home,Lipstick,Beauty,Other,1217.67,36-45,527,473,Sep-24,80
ORD5069,CUST1069,19,PROD269,Canada,25-Jan-22,29-Jun-25,4,active,07-Jan-25,262.1,6,33,Clothing,Smartwatch,Electronics,Male,1572.6,18-25,236,1251,Jan-25,80
ORD5070,CUST1070,33,PROD270,India,29-Jul-23,18-Dec-24,3,active,17-Apr-25,466.13,3,25,Home,Jeans,Clothing,Female,1398.39,26-35,429,508,Apr-25,80
ORD5071,CUST1071,62,PROD271,India,09-Oct-21,01-Mar-24,2,active,25-Dec-22,365.16,3,13,Sports,Laptop,Electronics,Female,1095.48,56+,721,874,Dec-22,70
ORD5072,CUST1072,34,PROD272,Canada,14-Dec-20,01-Apr-21,3,active,10-Jul-23,24.08,5,28,Beauty,Bluetooth Speaker,Electronics,Male,120.4,26-35,1786,108,Jul-23,80
ORD5073,CUST1073,57,PROD273,Pakistan,01-Nov-21,20-Oct-22,0,cancelled,21-Jul-25,167.47,5,13,Sports,Sofa,Home,Male,837.35,56+,1219,353,Jul-25,50
ORD5074,CUST1074,21,PROD274,India,19-Aug-21,21-May-25,2,active,11-Sep-22,44.36,6,27,Sports,Bluetooth Speaker,Electronics,Female,266.16,18-25,275,1371,Sep-22,70
ORD5075,CUST1075,43,PROD275,USA,20-Aug-22,20-Feb-24,1,cancelled,16-Aug-23,157.7,5,32,Home,Dumbbells,Sports,Female,788.5,36-45,731,549,Aug-23,60
ORD5076,CUST1076,63,PROD276,USA,03-May-21,06-Aug-22,5,cancelled,30-Jul-25,244.5,6,19,Clothing,Blender,Home,Male,1467,56+,1294,460,Jul-25,80
ORD5077,CUST1077,35,PROD277,UK,17-Jul-21,08-Dec-24,2,cancelled,28-Oct-24,1519.11,1,47,Sports,Tablet,Electronics,Female,1519.11,26-35,439,1240,Oct-24,70
ORD5078,CUST1078,55,PROD278,UK,11-Apr-21,29-Dec-23,2,cancelled,06-Aug-24,160.26,8,44,Beauty,Face Wash,Beauty,Female,1282.08,46-55,784,992,Aug-24,70
ORD5079,CUST1079,54,PROD279,Germany,05-Oct-20,21-May-25,5,active,06-Apr-24,154,7,21,Sports,Foundation,Beauty,Male,1078,46-55,275,1689,Apr-24,80
ORD5080,CUST1080,53,PROD280,Germany,02-Nov-21,10-Oct-23,0,active,02-Oct-24,119.16,7,4,Electronics,Perfume,Beauty,Male,834.12,46-55,864,707,Oct-24,50
ORD5081,CUST1081,20,PROD281,USA,01-Jul-23,18-Dec-23,5,active,16-Feb-25,68.21,5,8,Home,Refrigerator,Home,Male,341.05,18-25,795,170,Feb-25,80
ORD5082,CUST1082,18,PROD282,UK,23-Sep-21,20-Feb-22,0,active,07-Jun-25,112.63,7,20,Electronics,Headphones,Electronics,Male,788.41,18-25,1461,150,Jun-25,50
ORD5083,CUST1083,44,PROD283,UK,03-Oct-21,08-Nov-23,0,active,23-Apr-22,269.36,6,16,Beauty,Basketball,Sports,Female,1616.16,36-45,835,766,Apr-22,50
ORD5084,CUST1084,20,PROD284,Pakistan,02-Dec-21,26-Apr-25,0,active,14-Dec-23,1032.49,1,1,Sports,Dress,Clothing,Male,1032.49,18-25,300,1241,Dec-23,50
ORD5085,CUST1085,51,PROD285,Germany,04-Apr-21,27-Nov-23,0,active,01-Sep-22,253.07,2,7,Sports,Tablet,Electronics,Female,506.14,46-55,816,967,Sep-22,50
ORD5086,CUST1086,55,PROD286,Germany,15-Jan-21,21-Jun-24,1,active,25-Aug-21,189.41,8,3,Home,Laptop,Electronics,Female,1515.28,46-55,609,1253,Aug-21,60
ORD5087,CUST1087,52,PROD287,Pakistan,05-Apr-22,20-Jun-23,1,cancelled,27-Mar-24,1495.51,1,45,Home,Refrigerator,Home,Female,1495.51,46-55,976,441,Mar-24,60
ORD5088,CUST1088,31,PROD288,Germany,16-Oct-21,08-Nov-22,4,cancelled,07-Dec-24,384.7,2,38,Home,Gaming Console,Electronics,Female,769.4,26-35,1200,388,Dec-24,80
ORD5089,CUST1089,46,PROD289,India,28-Aug-21,07-Sep-23,5,active,16-Jan-24,256.4,6,29,Home,Sofa,Home,Male,1538.4,46-55,897,740,Jan-24,80
ORD5090,CUST1090,61,PROD290,Pakistan,07-Jul-23,08-Aug-23,0,active,14-Jul-25,289.7,4,14,Clothing,Chair,Home,Female,1158.8,56+,927,32,Jul-25,50
ORD5091,CUST1091,30,PROD291,Canada,27-Feb-21,26-Jun-23,2,active,25-Feb-24,27,5,8,Electronics,Dining Table,Home,Female,135,26-35,970,849,Feb-24,70
ORD5092,CUST1092,56,PROD292,Canada,13-Sep-21,22-May-22,2,active,29-Nov-24,279.83,3,28,Clothing,Moisturizer,Beauty,Female,839.49,56+,1370,251,Nov-24,70
ORD5093,CUST1093,24,PROD293,Canada,29-May-23,28-Jun-24,0,paused,22-Oct-24,290.29,5,30,Sports,Headphones,Electronics,Male,1451.45,18-25,602,396,Oct-24,70
ORD5094,CUST1094,68,PROD294,Pakistan,14-Jul-22,25-Dec-24,2,active,05-Jul-24,259.26,6,38,Home,Yoga Mat,Sports,Female,1555.56,56+,422,895,Jul-24,70
ORD5095,CUST1095,52,PROD295,Canada,20-Oct-22,11-Nov-24,5,cancelled,09-Jul-25,159.25,5,40,Sports,Gaming Console,Electronics,Male,796.25,46-55,466,753,Jul-25,80
ORD5096,CUST1096,43,PROD296,USA,15-Feb-21,19-Oct-21,0,active,25-Jan-25,62.41,3,30,Sports,Tennis Racket,Sports,Female,187.23,36-45,1585,246,Jan-25,50
ORD5097,CUST1097,35,PROD297,Pakistan,31-Mar-21,21-Nov-22,4,active,22-May-22,107.73,5,26,Home,Smartwatch,Electronics,Male,538.65,26-35,1187,600,May-22,80
ORD5098,CUST1098,66,PROD298,Germany,15-Sep-21,07-Aug-22,5,paused,28-May-22,556.57,2,40,Sports,T-Shirt,Clothing,Male,1113.14,56+,1293,326,May-22,100
ORD5099,CUST1099,32,PROD299,UK,18-Sep-21,15-Apr-22,2,active,19-Jan-22,990.57,1,5,Sports,Headphones,Electronics,Female,990.57,26-35,1407,209,Jan-22,70
ORD5100,CUST1100,57,PROD300,UK,28-Nov-20,20-Jan-24,2,cancelled,10-Mar-22,140.71,6,26,Home,Nail Polish,Beauty,Female,844.26,56+,762,1148,Mar-22,70
ORD5101,CUST1101,49,PROD301,USA,15-Apr-22,20-Sep-24,2,active,09-Mar-25,38.59,9,48,Sports,Yoga Mat,Sports,Male,347.31,46-55,518,889,Mar-25,70
ORD5102,CUST1102,62,PROD302,USA,14-Aug-23,08-Jul-24,1,active,18-May-25,196.79,8,35,Clothing,Moisturizer,Beauty,Female,1574.32,56+,592,329,May-25,60
ORD5103,CUST1103,36,PROD303,Germany,18-Jun-23,06-Apr-25,4,active,27-Jan-24,84.34,5,41,Sports,Basketball,Sports,Female,421.7,36-45,320,658,Jan-24,80
ORD5104,CUST1104,51,PROD304,USA,27-Jul-22,17-Oct-23,2,paused,04-Jan-25,760.96,1,13,Electronics,Foundation,Beauty,Male,760.96,46-55,857,447,Jan-25,90
ORD5105,CUST1105,54,PROD305,India,01-Oct-22,10-Nov-24,4,active,12-Mar-24,716.3,2,24,Home,Smartphone,Electronics,Female,1432.6,46-55,467,771,Mar-24,80
ORD5106,CUST1106,27,PROD306,UK,15-Sep-22,21-Feb-25,0,cancelled,28-Jun-25,396.36,5,34,Sports,Chair,Home,Female,1981.8,26-35,364,890,Jun-25,50
ORD5107,CUST1107,42,PROD307,Germany,16-Oct-20,08-Mar-22,0,active,04-Jul-21,805.84,2,39,Home,Cycling Helmet,Sports,Female,1611.68,36-45,1445,508,Jul-21,50
ORD5108,CUST1108,51,PROD308,India,04-Jul-22,11-Nov-24,3,cancelled,23-Jul-24,107.67,4,26,Clothing,Vacuum Cleaner,Home,Other,430.68,46-55,466,861,Jul-24,80
ORD5109,CUST1109,39,PROD309,India,06-Nov-22,05-Apr-24,1,cancelled,14-Sep-24,233.34,6,44,Clothing,Perfume,Beauty,Male,1400.04,36-45,686,516,Sep-24,60
ORD5110,CUST1110,23,PROD310,Canada,29-Oct-22,21-Aug-23,1,active,05-Apr-24,353.8,3,11,Electronics,Perfume,Beauty,Female,1061.4,18-25,914,296,Apr-24,60
ORD5111,CUST1111,59,PROD311,India,27-Jan-23,26-Dec-23,0,paused,11-Jan-25,221.28,8,41,Clothing,Jeans,Clothing,Female,1770.24,56+,787,333,Jan-25,70
ORD5112,CUST1112,29,PROD312,Canada,13-Feb-21,05-Oct-23,4,paused,27-Nov-24,247.78,8,28,Electronics,Lipstick,Beauty,Female,1982.24,26-35,869,964,Nov-24,100
ORD5113,CUST1113,50,PROD313,India,11-Aug-23,07-Mar-25,0,cancelled,26-Oct-23,1810.76,1,13,Clothing,Yoga Mat,Sports,Male,1810.76,46-55,350,574,Oct-23,50
ORD5114,CUST1114,31,PROD314,Pakistan,16-Dec-21,27-May-23,3,active,01-Nov-23,164.62,6,15,Sports,Sofa,Home,Female,987.72,26-35,1000,527,Nov-23,80
ORD5115,CUST1115,65,PROD315,Canada,26-Jul-22,01-Oct-22,3,active,15-Jun-23,57.48,5,42,Beauty,Tablet,Electronics,Female,287.4,56+,1238,67,Jun-23,80
ORD5116,CUST1116,28,PROD316,Canada,29-Nov-22,28-Sep-24,0,active,16-May-24,431.26,3,3,Electronics,Vacuum Cleaner,Home,Female,1293.78,26-35,510,669,May-24,50
ORD5117,CUST1117,31,PROD317,Germany,30-Dec-20,09-Jun-21,0,cancelled,02-Mar-23,205.69,8,7,Clothing,Dress,Clothing,Male,1645.52,26-35,1717,161,Mar-23,50
ORD5118,CUST1118,45,PROD318,Canada,01-Mar-22,17-Sep-24,1,active,22-Aug-22,338.72,1,22,Home,Hoodie,Clothing,Male,338.72,36-45,521,931,Aug-22,60
ORD5119,CUST1119,19,PROD319,USA,12-Sep-21,28-Jun-24,1,active,24-Oct-22,174.49,9,25,Clothing,Lipstick,Beauty,Female,1570.41,18-25,602,1020,Oct-22,60
ORD5120,CUST1120,64,PROD320,Pakistan,16-Nov-20,06-Aug-22,5,cancelled,06-Jul-24,102.01,6,1,Electronics,Tablet,Electronics,Male,612.06,56+,1294,628,Jul-24,80
ORD5121,CUST1121,23,PROD321,UK,30-Oct-22,27-Apr-24,5,active,18-Feb-23,389.99,5,3,Home,Shirt,Clothing,Male,1949.95,18-25,664,545,Feb-23,80
ORD5122,CUST1122,22,PROD322,UK,03-Dec-22,19-Dec-24,2,cancelled,07-Dec-22,21.57,6,49,Sports,Face Wash,Beauty,Male,129.42,18-25,428,747,Dec-22,70
ORD5123,CUST1123,68,PROD323,USA,25-Apr-23,24-Sep-24,1,cancelled,26-Mar-25,649.18,2,38,Electronics,Gaming Console,Electronics,Male,1298.36,56+,514,518,Mar-25,60
ORD5124,CUST1124,61,PROD324,Canada,19-Feb-23,23-Apr-25,3,cancelled,29-Jul-25,964.88,2,5,Clothing,Running Shoes,Sports,Female,1929.76,56+,303,794,Jul-25,80
ORD5125,CUST1125,52,PROD325,UK,20-May-23,08-Feb-24,0,active,11-May-25,201.06,8,28,Home,Lamp,Home,Male,1608.48,46-55,743,264,May-25,50
ORD5126,CUST1126,35,PROD326,UK,09-Jun-21,18-Oct-24,1,active,31-May-22,178.81,1,41,Electronics,Smartwatch,Electronics,Female,178.81,26-35,490,1227,May-22,60
ORD5127,CUST1127,45,PROD327,Germany,25-Jul-22,27-Feb-23,2,cancelled,14-Nov-23,167.69,5,49,Electronics,Headphones,Electronics,Female,838.45,36-45,1089,217,Nov-23,70
ORD5128,CUST1128,49,PROD328,Germany,28-Sep-22,12-Oct-22,2,active,03-Mar-24,19.56,6,43,Beauty,Bluetooth Speaker,Electronics,Female,117.36,46-55,1227,14,Mar-24,70
ORD5129,CUST1129,31,PROD329,UK,24-Apr-21,10-Jan-24,0,active,04-Aug-23,170.27,3,34,Electronics,Shampoo,Beauty,Male,510.81,26-35,772,991,Aug-23,50
ORD5130,CUST1130,33,PROD330,Germany,20-Oct-22,07-Aug-24,3,cancelled,31-Oct-22,968.05,2,3,Clothing,Smartwatch,Electronics,Male,1936.1,26-35,562,657,Oct-22,80
ORD5131,CUST1131,21,PROD331,UK,08-Nov-21,25-Jan-25,0,cancelled,14-Apr-25,184.34,6,13,Home,Tablet,Electronics,Female,1106.04,18-25,391,1174,Apr-25,50
ORD5132,CUST1132,59,PROD332,USA,13-Jul-22,12-Jun-23,3,active,08-Aug-25,332.14,4,3,Electronics,Skirt,Clothing,Female,1328.56,56+,984,334,Aug-25,80
ORD5133,CUST1133,46,PROD333,Germany,29-Jun-21,04-Nov-22,2,active,02-Jun-25,42.65,5,34,Home,Tennis Racket,Sports,Female,213.25,46-55,1204,493,Jun-25,70
ORD5134,CUST1134,35,PROD334,UK,05-Sep-21,18-Nov-24,1,active,28-Nov-22,21.3,9,43,Beauty,Cycling Helmet,Sports,Male,191.7,26-35,459,1170,Nov-22,60
ORD5135,CUST1135,51,PROD335,USA,20-May-23,17-May-24,5,cancelled,25-Jun-24,111.78,7,28,Clothing,Microwave,Home,Male,782.46,46-55,644,363,Jun-24,80
ORD5136,CUST1136,51,PROD336,India,10-Jan-22,08-Jul-22,1,active,06-Apr-23,103.26,7,25,Beauty,Face Wash,Beauty,Female,722.82,46-55,1323,179,Apr-23,60
ORD5137,CUST1137,39,PROD337,USA,02-May-21,11-Jul-24,3,active,30-Jun-25,5.48,9,11,Electronics,Headphones,Electronics,Female,49.32,36-45,589,1166,Jun-25,80
ORD5138,CUST1138,36,PROD338,Germany,07-Apr-23,09-May-23,3,active,11-Jul-25,151.96,5,16,Sports,Cycling Helmet,Sports,Female,759.8,36-45,1018,32,Jul-25,80
ORD5139,CUST1139,49,PROD339,Pakistan,07-Jun-23,19-Jul-23,3,active,23-Mar-25,152.78,9,12,Electronics,Sneakers,Clothing,Female,1375.02,46-55,947,42,Mar-25,80
